last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Gómez, Carlos,460576,2017,426,249,0.255,0.246,0.009000000000000008,0.462,0.44,0.02200000000000002,0.343,0.335,0.008000000000000007
Heredia, Guillermo,628338,2017,426,324,0.249,0.239,0.010000000000000009,0.337,0.321,0.016000000000000014,0.288,0.281,0.006999999999999951
Parra, Gerardo,467827,2017,425,334,0.309,0.272,0.03699999999999998,0.452,0.403,0.04899999999999999,0.337,0.311,0.026000000000000023
Braun, Ryan,460075,2017,425,308,0.268,0.269,-0.0010000000000000009,0.487,0.476,0.01100000000000001,0.347,0.348,-0.0010000000000000009
Barnhart, Tucker,571466,2017,423,310,0.27,0.267,0.0030000000000000027,0.403,0.392,0.01100000000000001,0.317,0.314,0.0030000000000000027
Bonifacio, Jorge,593528,2017,422,267,0.255,0.253,0.0020000000000000018,0.432,0.452,-0.020000000000000018,0.323,0.331,-0.008000000000000007
Kiermaier, Kevin,595281,2017,421,286,0.276,0.234,0.04200000000000001,0.45,0.371,0.07900000000000001,0.337,0.293,0.04400000000000004
Hedges, Austin,595978,2017,417,269,0.214,0.196,0.017999999999999988,0.398,0.344,0.05400000000000005,0.278,0.253,0.025000000000000022
Happ, Ian,664023,2017,413,241,0.253,0.246,0.007000000000000006,0.514,0.477,0.03700000000000003,0.349,0.336,0.012999999999999956
Altherr, Aaron,571437,2017,412,269,0.272,0.259,0.013000000000000012,0.516,0.471,0.04500000000000004,0.359,0.341,0.01799999999999996
Wong, Kolten,543939,2017,411,298,0.285,0.262,0.022999999999999965,0.412,0.366,0.045999999999999985,0.336,0.316,0.020000000000000018
Haniger, Mitch,571745,2017,410,277,0.282,0.256,0.025999999999999968,0.491,0.44,0.05099999999999999,0.36,0.333,0.02699999999999997
Polanco, Gregory,570256,2017,410,320,0.251,0.259,-0.008000000000000007,0.391,0.393,-0.0020000000000000018,0.297,0.303,-0.006000000000000005
Castro, Jason,488771,2017,407,250,0.242,0.241,0.0010000000000000009,0.388,0.401,-0.013000000000000012,0.315,0.321,-0.006000000000000005
Miller, Brad,543543,2017,407,232,0.201,0.219,-0.017999999999999988,0.337,0.373,-0.035999999999999976,0.294,0.318,-0.02400000000000002
Ellsbury, Jacoby,453056,2017,405,295,0.264,0.263,0.0010000000000000009,0.402,0.375,0.027000000000000024,0.326,0.318,0.008000000000000007
Moss, Brandon,461235,2017,401,236,0.207,0.237,-0.03,0.428,0.505,-0.07700000000000001,0.301,0.342,-0.041000000000000036
Valbuena, Luis,472528,2017,401,246,0.199,0.205,-0.005999999999999978,0.432,0.42,0.01200000000000001,0.308,0.315,-0.007000000000000006
Piscotty, Stephen,572039,2017,401,257,0.235,0.247,-0.01200000000000001,0.367,0.407,-0.03999999999999998,0.313,0.34,-0.027000000000000024
McCann, Brian,435263,2017,399,296,0.241,0.246,-0.0050000000000000044,0.436,0.428,0.008000000000000007,0.323,0.326,-0.0030000000000000027
Descalso, Daniel,518614,2017,398,257,0.233,0.222,0.01100000000000001,0.395,0.378,0.017000000000000015,0.318,0.31,0.008000000000000007
McCann, James,543510,2017,391,267,0.253,0.267,-0.014000000000000012,0.415,0.465,-0.050000000000000044,0.316,0.343,-0.027000000000000024
Dyson, Jarrod,502481,2017,390,297,0.251,0.25,0.0010000000000000009,0.35,0.331,0.01899999999999996,0.296,0.295,0.0010000000000000009
Beltré, Adrián,134181,2017,389,294,0.312,0.283,0.029000000000000026,0.532,0.466,0.066,0.384,0.358,0.026000000000000023
Semien, Marcus,543760,2017,386,261,0.249,0.243,0.006000000000000005,0.398,0.383,0.015000000000000013,0.314,0.312,0.0020000000000000018
Owings, Chris,572008,2017,386,281,0.268,0.24,0.028000000000000025,0.442,0.365,0.07700000000000001,0.313,0.277,0.035999999999999976
Russell, Addison,608365,2017,385,261,0.239,0.25,-0.01100000000000001,0.418,0.405,0.012999999999999956,0.305,0.308,-0.0030000000000000027
Gomes, Yan,543228,2017,383,245,0.232,0.206,0.026000000000000023,0.399,0.363,0.03600000000000003,0.307,0.286,0.02100000000000002
Escobar, Yunel,488862,2017,381,299,0.274,0.272,0.0020000000000000018,0.397,0.421,-0.023999999999999966,0.318,0.327,-0.009000000000000008
Mahtook, Mikie,543484,2017,379,271,0.276,0.269,0.007000000000000006,0.457,0.438,0.019000000000000017,0.335,0.327,0.008000000000000007
d'Arnaud, Travis,518595,2017,376,292,0.244,0.245,-0.0010000000000000009,0.443,0.422,0.02100000000000002,0.308,0.305,0.0030000000000000027
Avila, Alex,488671,2017,376,193,0.264,0.273,-0.009000000000000008,0.447,0.555,-0.10800000000000004,0.362,0.401,-0.039000000000000035
Brantley, Michael,488726,2017,375,292,0.299,0.288,0.01100000000000001,0.444,0.432,0.01200000000000001,0.342,0.339,0.0030000000000000027
Aoki, Norichika,493114,2017,374,298,0.277,0.256,0.02100000000000002,0.393,0.341,0.05199999999999999,0.315,0.292,0.02300000000000002
Desmond, Ian,435622,2017,373,258,0.274,0.227,0.047000000000000014,0.375,0.312,0.063,0.305,0.265,0.03999999999999998
Kipnis, Jason,543401,2017,373,272,0.232,0.234,-0.0020000000000000018,0.414,0.41,0.0040000000000000036,0.3,0.306,-0.006000000000000005
Smith, Seth,452234,2017,373,252,0.258,0.269,-0.01100000000000001,0.433,0.456,-0.02300000000000002,0.332,0.349,-0.01699999999999996
Cron, C.J.,543068,2017,372,246,0.248,0.26,-0.01200000000000001,0.437,0.478,-0.04099999999999998,0.316,0.338,-0.02200000000000002
Aybar, Erick,430947,2017,370,281,0.234,0.232,0.0020000000000000018,0.348,0.318,0.02999999999999997,0.282,0.273,0.008999999999999952
Flowers, Tyler,452095,2017,370,237,0.281,0.264,0.017000000000000015,0.445,0.423,0.02200000000000002,0.358,0.347,0.01100000000000001
Adams, Matt,571431,2017,367,255,0.274,0.27,0.0040000000000000036,0.522,0.507,0.015000000000000013,0.346,0.342,0.003999999999999948
Davis, Rajai,434658,2017,366,255,0.235,0.229,0.005999999999999978,0.348,0.324,0.023999999999999966,0.279,0.27,0.009000000000000008
Castillo, Welington,456078,2017,365,246,0.282,0.268,0.013999999999999957,0.49,0.493,-0.0030000000000000027,0.344,0.341,0.002999999999999947
Difo, Wilmer,594694,2017,365,266,0.271,0.266,0.0050000000000000044,0.37,0.371,-0.0010000000000000009,0.293,0.294,-0.0010000000000000009
Martin, Russell,431145,2017,365,225,0.221,0.238,-0.016999999999999987,0.388,0.408,-0.019999999999999962,0.324,0.339,-0.015000000000000013
Flores, Wilmer,527038,2017,362,288,0.271,0.257,0.014000000000000012,0.488,0.448,0.03999999999999998,0.331,0.315,0.016000000000000014
Barney, Darwin,446381,2017,362,278,0.232,0.228,0.0040000000000000036,0.327,0.296,0.031000000000000028,0.263,0.252,0.01100000000000001
Hicks, Aaron,543305,2017,361,240,0.266,0.248,0.018000000000000016,0.475,0.431,0.043999999999999984,0.363,0.348,0.015000000000000013
Piña, Manny,444489,2017,359,255,0.279,0.247,0.03200000000000003,0.424,0.393,0.030999999999999972,0.323,0.299,0.02400000000000002
Utley, Chase,400284,2017,353,255,0.236,0.241,-0.0050000000000000044,0.405,0.402,0.0030000000000000027,0.316,0.321,-0.0050000000000000044
Romine, Andrew,461865,2017,348,255,0.233,0.253,-0.01999999999999999,0.336,0.355,-0.01899999999999996,0.274,0.292,-0.01799999999999996
Hechavarria, Adeiny,588751,2017,348,267,0.261,0.27,-0.009000000000000008,0.406,0.398,0.008000000000000007,0.295,0.3,-0.0050000000000000044
Pearce, Steve,456665,2017,348,248,0.252,0.245,0.007000000000000006,0.438,0.416,0.02200000000000002,0.323,0.314,0.009000000000000008
Hernández, Gorkys,491676,2017,348,241,0.255,0.24,0.015000000000000013,0.326,0.328,-0.0020000000000000018,0.288,0.286,0.0020000000000000018
Vázquez, Christian,543877,2017,345,261,0.29,0.259,0.030999999999999972,0.404,0.362,0.04200000000000004,0.318,0.29,0.028000000000000025
Pirela, José,517369,2017,344,244,0.288,0.265,0.022999999999999965,0.49,0.424,0.066,0.355,0.327,0.02799999999999997
Asuaje, Carlos,641319,2017,343,237,0.27,0.233,0.037000000000000005,0.362,0.327,0.034999999999999976,0.307,0.28,0.02699999999999997
Williams, Nick,608384,2017,343,220,0.288,0.269,0.01899999999999996,0.473,0.434,0.03899999999999998,0.344,0.33,0.013999999999999957
Hernández, Enrique,571771,2017,342,221,0.215,0.218,-0.0030000000000000027,0.421,0.382,0.03899999999999998,0.31,0.302,0.008000000000000007
