last_name,first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Santander, Anthony,623993,51,22.1,27.5,109.9,90.1,95.9,90.6,409,182,405,26,51,4,7.8,4.7
McCarthy, Jake,664983,51,9.7,35.3,108.5,85.5,90,83.5,412,143,412,13,25.5,3,5.9,4.3
Kim, Ha-Seong,673490,51,17.9,27.5,108.2,84.7,89.7,79.4,400,161,366,10,19.6,3,5.9,3.7
Tellez, Rowdy,642133,51,15.8,41.2,109.9,88.3,93.1,83.6,422,190,393,21,41.2,7,13.7,8.4
Steer, Spencer,668715,51,14,27.5,110.6,91.1,95.5,89.7,438,172,437,21,41.2,4,7.8,5
Ramírez, Harold,623912,51,13.1,35.3,109.5,89.1,93.2,85.6,441,164,399,21,41.2,4,7.8,5.8
Alvarez, Yordan,670541,51,16.3,35.3,116,91.8,95.9,86,442,202,406,25,49,9,17.6,10
Tovar, Ezequiel,678662,50,10.9,32,109.4,85.8,88.9,81.9,370,155,,11,22,1,2,1.3
Myers, Wil,571976,50,18.5,34,105.8,90.6,94.7,86.6,406,161,404,18,36.7,4,8,4.5
Merrifield, Whit,593160,50,11.2,36,104.6,84.5,88.6,79.4,368,161,,10,20,1,2,1.4
Grandal, Yasmani,518735,50,11.9,38,107.4,86.2,92.4,79.2,428,176,415,14,28,2,4,2.6
Kelenic, Jarred,672284,50,8.6,40,111.7,92.4,98.6,85.3,482,195,409,29,58,9,18,11.7
Wisdom, Patrick,621550,50,23.8,40,110.2,94.2,98.3,92.5,428,214,401,29,59.2,11,22,13.1
Fraley, Jake,641584,50,17,28,111.7,84.8,90.5,83.4,367,146,349,12,24,2,4,2.6
Outman, James,681546,50,12.4,42,110.7,89.3,94.4,82.9,423,193,401,22,44,10,20,11.8
Drury, Brandon,592273,50,18.6,38,110.5,88,91.4,84.4,441,178,408,22,44,4,8,5.2
Moreno, Gabriel,672515,49,6.4,42.9,109.3,90.1,92.4,89.1,406,146,399,20,40.8,3,6.1,4.6
Olivares, Edward,658668,49,11.9,38.8,108.8,87.9,92.8,83.5,421,173,417,20,40.8,6,12.2,9
Lowe, Josh,666139,49,19.4,32.7,109.4,84.4,90.8,77.5,429,178,411,15,30.6,4,8.2,6.3
Larnach, Trevor,663616,49,16.6,44.9,109.3,87.6,94.3,73.1,423,207,417,21,42.9,6,12.2,6.7
Colás, Oscar,693049,49,1.8,18.4,112.2,83.4,89.5,83.1,416,112,416,14,28.6,3,6.1,4.2
Chisholm Jr., Jazz,665862,49,2.1,24.5,111.6,90.4,94.4,87.6,411,127,398,16,32.7,4,8.2,4.5
Isbel, Kyle,664728,49,3.7,28.6,107.9,90.5,94,88.4,399,143,,24,49,3,6.1,4.5
Buxton, Byron,621439,49,16.3,36.7,110.8,90.8,94.2,87,423,191,407,21,42.9,7,14.3,8
McMahon, Ryan,641857,49,12.5,40.8,113.2,90.7,97.7,83.4,443,175,415,24,49,10,20.4,11.1
Langeliers, Shea,669127,48,23.9,27.1,111.6,86.8,93.9,83.2,440,172,416,15,31.3,4,8.3,5.3
Call, Alex,669743,48,12.2,27.1,104.8,85.2,90.1,82.7,410,162,410,13,27.1,2,4.2,2.7
Kiermaier, Kevin,595281,48,7,25,107.5,88.6,89.5,89.7,390,123,390,17,35.4,1,2.1,1.5
Mancini, Trey,641820,48,6,29.2,108.6,88,91,87.3,419,130,394,19,39.6,1,2.1,1.3
LeMahieu, DJ,518934,47,7.8,38.3,110.5,93.6,95.8,92.3,395,164,362,26,55.3,3,6.4,3.9
Mateo, Jorge,622761,47,4.9,25.5,112.4,90.4,96.4,85.4,433,137,416,20,42.6,3,6.4,4.8
Crawford, J.P.,641487,47,13.5,29.8,108.3,91.1,89.4,95.6,375,163,,18,38.3,1,2.1,1.3
